id,code,name,category_id:id,implied_hue_id:id,default_grade_id:id,default_hue_id:id,default_shape_id:id
stone_SI,SI,Spinel,cat_S,"","",hue_1B,shape_RD
stone_SL,SL,Silver,cat_H,"","","",""
stone_SM,SM,Smokey Quartz,cat_S,hue_1X,grade_1,"",shape_RD
stone_SP,SP,Sapphire Kanchana,cat_P,"",grade_1,hue_1D,shape_OG
stone_ST,ST,Stainless,cat_H,"","",hue_1W,shape_MI
stone_SU,SU,Sunstone,cat_H,"","","",""
stone_SY,SY,Synthetic,cat_S,"","",hue_4P,shape_OT
stone_TA,TA,Tanzanite,cat_P,"",grade_3,"",shape_RD
stone_TH,TH,Tahiti Pearl,cat_R,"","",hue_2A,shape_RD
stone_TI,TI,Tiger Eye,cat_H,"",grade_7,"",shape_RC
stone_TO,TO,Topaz,cat_S,"","",hue_1W,shape_OV
stone_TR,TR,Tourmaline,cat_S,"","",hue_2P,shape_RD
stone_TS,TS,Tsavorite,cat_P,"",grade_1,"",shape_RD
stone_TU,TU,Turquoise,cat_H,"","",hue_2B,shape_RC
stone_UV,UV,Uvite,cat_S,"","","",""
stone_WH,WH,White Topaz,cat_S,hue_1W,"","",shape_RD
stone_WI,WI,White Quartz,cat_H,hue_1W,"",hue_2M,shape_DH
stone_WO,WO,Wood,cat_H,"","",hue_1B,shape_RD
stone_ZI,ZI,Zircon,cat_S,"","",hue_1W,shape_RD
