id,name
sis_shipper_1,Brinks
sis_shipper_2,Courier
sis_shipper_3,FedEx
sis_shipper_4,Ferrari
sis_shipper_5,UPS
sis_shipper_6,Hand Carry
sis_shipper_7,Speed post
sis_shipper_8,Malca Amit
sis_shipper_9,LOCAL SALE
sis_shipper_10,EMS
sis_shipper_11,Direct Ship
sis_shipper_12,RANA THAI
sis_shipper_13,POST
